"id","ts","title","_yf_slug","_image","price","part_number","overview"
"41222","2017-09-15 23:54:00","Curt Manufacturing CURT Manufacturing Gooseneck Hitch Folding Ball Install Kit - 61332","/Towing/CURT-Manufacturing-Gooseneck-Hitch-Folding-Ball-Install-Kit-61332.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT61332","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/61332_a.jpg&w=200&h=200","$221.99","CRT61332",""
"41223","2017-09-15 23:54:00","Curt Manufacturing CURT Manufacturing Gooseneck Hitch Folding Ball Install Kit - 61341","/Towing/CURT-Manufacturing-Gooseneck-Hitch-Folding-Ball-Install-Kit-61341.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT61341","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/61341_a.jpg&w=200&h=200","$284.99","CRT61341",""
"41224","2017-09-15 23:54:00","Curt Manufacturing CURT Manufacturing Gooseneck Hitch Folding Ball Install Kit - 61529","/Towing/CURT-Manufacturing-Gooseneck-Hitch-Folding-Ball-Install-Kit-61529.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT61529","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/61529_a.jpg&w=200&h=200","$276.99","CRT61529",""
"41225","2017-09-15 23:54:00","DrawTite DrawTite Gooseneck Rail Kit - 4438","/Towing/DrawTite-Gooseneck-Rail-Kit-4438.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=DRA4438","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_4438_PIC_4_1_72.jpg&w=200&h=200","$253.99","DRA4438",""
"41226","2017-09-15 23:54:00","DrawTite DrawTite Gooseneck Rail Kit - 4445","/Towing/DrawTite-Gooseneck-Rail-Kit-4445.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=DRA4445","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_4445_PIC_4_1_72.jpg&w=200&h=200","$253.99","DRA4445",""
"41227","2017-09-15 23:54:00","DrawTite DrawTite Gooseneck Rail Kit - 4446","/Towing/DrawTite-Gooseneck-Rail-Kit-4446.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=DRA4446","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_4446_PIC_4_1_72.jpg&w=200&h=200","$367.99","DRA4446",""
"41228","2017-09-15 23:54:00","DrawTite DrawTite Gooseneck Rail Kit - 4457","/Towing/DrawTite-Gooseneck-Rail-Kit-4457.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=DRA4457","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_4457_PIC_4_1_72.jpg&w=200&h=200","$253.99","DRA4457",""
"41229","2017-09-15 23:54:12","Curt Manufacturing Under-Bed Double Lock Gooseneck Install Kit","/Towing/Under-Bed-Double-Lock-Gooseneck-Install-Kit.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60624","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/&w=200&h=200","$229.99","CRT60624",""
"41230","2017-09-15 23:54:19","Reese Reese Fifth Airborne Standard - 5AB-S13515","/Towing/Reese-Fifth-Airborne-Standard-5AB-S13515.aspx?t_c=67&t_s=59&t_pt=10340&t_pn=RES5AB-S13515","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/RES/RES_5AB-S13515_PIC_4_1_72.jpg&w=200&h=200","$1,097.99","RES5AB-S13515",""
"41231","2017-09-15 23:54:19","Reese Reese Sidewinder 16K Combo - 61410","/Towing/Reese-Sidewinder-16K-Combo-61410.aspx?t_c=67&t_s=59&t_pt=10340&t_pn=RES61410","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/RES/RES_61410_PIC_4_1_72.jpg&w=200&h=200","$917.99","RES61410",""
